episode_num,layer_num,quant_state,acc_state,reward,l1-bits,l2-bits,l3-bits,l4-bits,l5-bits,prob_2bits,prob_3bits,prob_4bits,prob_5bits,prob_8bits
11,0,0.875,0.0,0,3,8,8,8,8,0.2092175,0.1704385,0.18160638,0.24684253,0.191895
11,1,0.775,0.0,0,3,4,8,8,8,0.20788734,0.17033856,0.18421125,0.24740517,0.19015773
11,2,0.65,0.0,0,3,4,3,8,8,0.18366942,0.1765257,0.2282897,0.22918858,0.1823266
11,3,0.575,0.0,0,3,4,3,5,8,0.18643326,0.17255637,0.20710678,0.23811401,0.19578958
11,4,0.475,0.7159999999999999,0.27405008211775367,3,4,3,5,4,0.19570488,0.16178994,0.19823156,0.24215177,0.2021219
12,0,0.9,0.0,0,4,8,8,8,8,0.20786051,0.17002276,0.18198818,0.24832468,0.19180383
12,1,0.825,0.0,0,4,5,8,8,8,0.20636024,0.17002618,0.18423785,0.24907039,0.19030532
12,2,0.725,0.0,0,4,5,4,8,8,0.18187754,0.17599195,0.22877032,0.2304123,0.18294795
12,3,0.65,0.0,0,4,5,4,5,8,0.18484864,0.17228857,0.20797688,0.24002515,0.19486074
12,4,0.65,0.9122666666666664,0.42481605630040187,4,5,4,5,8,0.19409236,0.16144139,0.19800447,0.24576528,0.20069651
13,0,0.925,0.0,0,5,8,8,8,8,0.20636912,0.16941667,0.18268128,0.24989505,0.19163781
13,1,0.85,0.0,0,5,5,8,8,8,0.20478478,0.16941887,0.18452737,0.25079277,0.19047624
13,2,0.7,0.0,0,5,5,2,8,8,0.18011235,0.17536312,0.2294876,0.23172134,0.18331556
13,3,0.55,0.0,0,5,5,2,2,8,0.18353996,0.17165267,0.20805201,0.24144745,0.19530788
13,4,0.425,0.14320000000000008,1.223825533894987e-12,5,5,2,2,3,0.19331603,0.1607982,0.19883393,0.24424016,0.20281163
14,0,0.85,0.0,0,2,8,8,8,8,0.20494011,0.16899018,0.18359901,0.25079304,0.1916776
14,1,0.85,0.0,0,2,8,8,8,8,0.20376006,0.1687523,0.18679234,0.25103927,0.18965606
14,2,0.85,0.0,0,2,8,8,8,8,0.17808348,0.17510931,0.23010166,0.23293298,0.18377255
14,3,0.725,0.0,0,2,8,8,3,8,0.18203668,0.17083485,0.2096295,0.24367248,0.19382645
14,4,0.575,0.5842666666666667,0.09423292420230427,2,8,8,3,2,0.1904584,0.15951774,0.1987233,0.25143585,0.19986464
15,0,0.9,0.0,0,4,8,8,8,8,0.20352411,0.16865757,0.18458036,0.2517063,0.19153163
15,1,0.825,0.0,0,4,5,8,8,8,0.2019848,0.16843629,0.18678534,0.25274742,0.19004619
15,2,0.675,0.0,0,4,5,2,8,8,0.17644514,0.1751239,0.2304448,0.2342617,0.18372439
15,3,0.575,0.0,0,4,5,2,4,8,0.1806355,0.17074017,0.20875983,0.24395968,0.19590488
15,4,0.475,0.5538666666666666,0.08251690144364747,4,5,2,4,4,0.19045666,0.15978281,0.1994882,0.24731039,0.20296192
16,0,0.85,0.0,0,2,8,8,8,8,0.20226222,0.16846217,0.1852165,0.25251383,0.19154523
16,1,0.75,0.0,0,2,4,8,8,8,0.20106022,0.16819742,0.18829222,0.25292385,0.18952636
16,2,0.65,0.0,0,2,4,4,8,8,0.17585121,0.17545915,0.23000003,0.23561274,0.1830769
16,3,0.525,0.0,0,2,4,4,3,8,0.17934217,0.17044602,0.20886753,0.24497342,0.19637088
16,4,0.425,0.684,0.24770384353189429,2,4,4,3,4,0.18925388,0.15964934,0.19993791,0.24732374,0.20383511
17,0,0.925,0.0,0,5,8,8,8,8,0.20114893,0.1682761,0.18608558,0.2530727,0.19141671
17,1,0.925,0.0,0,5,8,8,8,8,0.19949093,0.16801138,0.18785463,0.25430325,0.19033974
17,2,0.85,0.0,0,5,8,5,8,8,0.1725073,0.17385562,0.23298706,0.23688571,0.1837644
17,3,0.7,0.0,0,5,8,5,2,8,0.17763153,0.16989496,0.21108542,0.24722458,0.19416347
17,4,0.625,0.7626666666666667,0.2671886566525034,5,8,5,2,5,0.18713944,0.15865576,0.1995243,0.25376588,0.20091464
18,0,0.925,0.0,0,5,8,8,8,8,0.20014183,0.16801001,0.18668933,0.25379682,0.19136201
18,1,0.85,0.0,0,5,5,8,8,8,0.19846731,0.16771363,0.18841927,0.25507066,0.19032916
18,2,0.85,0.0,0,5,5,8,8,8,0.17136867,0.17479931,0.23242362,0.23725103,0.18415743
18,3,0.75,0.0,0,5,5,8,4,8,0.17651011,0.16962276,0.21140058,0.24831817,0.19414832
18,4,0.675,0.9490666666666666,0.4439693353514914,5,5,8,4,5,0.18537791,0.15782289,0.20009667,0.2567349,0.19996762
19,0,0.875,0.0,0,3,8,8,8,8,0.19896296,0.16751403,0.18701483,0.2552843,0.1912239
19,1,0.75,0.0,0,3,3,8,8,8,0.19754905,0.16716258,0.18950526,0.25618955,0.18959361
