EPOCH,TOP1-ACC,TOP5-ACC,VAL-LOSS
0,18.120000000000005,65.10000000000001,2.264039278030395
1,26.6,76.78,2.032003670930862
2,31.58,83.48,1.876578336954117
3,34.12,87.04,1.7616047501564025
4,34.58,87.48,1.7308437883853913
