tot_loss,sin2_loss
688.6227,687.85583
687.43225,686.7693
686.11414,685.52563
684.64355,684.10876
682.9988,682.5043
681.25995,680.70056
679.1685,678.6889
676.94586,676.46497
674.4898,674.0285
671.78754,671.3842
668.8975,668.5427
665.9565,665.5189
662.6251,662.33264
659.4467,659.00696
655.9994,655.5686
652.3909,652.0459
648.7119,648.46783
645.1918,644.8636
641.5685,641.26117
638.0615,637.6869
634.5087,634.1641
631.0046,630.7141
627.7115,627.3544
624.34955,624.0992
621.24603,620.95917
618.43555,617.94244
615.3181,615.05396
612.64624,612.296
609.85846,609.66876
607.49133,607.1705
605.09424,604.7981
602.89276,602.54694
600.74194,600.4117
598.58936,598.3865
596.78864,596.46466
594.92847,594.63947
593.122,592.90393
591.4916,591.25116
589.9517,589.6745
588.3423,588.1672
586.94635,586.72296
585.61914,585.3353
584.2508,583.9988
582.97687,582.70746
581.6946,581.45636
580.49854,580.2407
579.35034,579.0559
578.12524,577.8979
577.06464,576.76276
575.9094,575.64703
