layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer1.2.conv1,layer1.2.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer2.2.conv1,layer2.2.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer3.2.conv1,layer3.2.conv2,acc
3,8,6,6,5,3,6,6,8,5,4,6,6,3,3,6,3,8,6,8,90.16
8,8,8,6,3,8,6,3,4,3,5,6,3,3,3,8,6,5,8,5,89.58
5,3,5,5,8,8,8,6,4,8,6,6,8,4,4,4,5,8,5,8,90.82000000000001
3,5,4,4,5,4,5,3,4,6,8,6,3,3,5,3,5,3,5,8,89.3
6,5,5,6,6,4,5,6,5,5,4,6,3,6,5,4,4,5,5,5,90.86
3,8,6,3,5,4,6,3,6,4,6,3,6,5,4,8,4,3,6,3,89.82
3,8,3,3,4,8,5,4,5,8,5,3,6,4,8,6,3,4,6,3,90.53999999999999
5,6,3,4,4,6,8,8,8,4,8,4,4,8,6,3,4,4,5,8,90.12
4,8,8,6,6,5,3,3,3,8,6,5,8,6,8,3,4,6,4,3,90.72
6,5,3,4,6,4,4,4,5,8,4,5,6,6,8,8,6,5,3,4,90.92
3,6,3,6,5,5,8,4,5,3,5,4,3,6,8,5,4,3,4,4,90.4
4,5,8,5,5,8,6,5,6,6,6,3,4,8,4,5,3,6,5,8,90.22
6,6,6,8,5,5,6,4,4,6,5,8,4,4,8,5,6,5,4,4,91.08000000000001
8,4,8,4,8,5,4,8,3,3,3,3,3,3,4,4,8,4,6,3,89.52
3,6,5,6,3,6,6,4,4,8,3,8,8,6,3,6,6,5,8,5,89.72
4,6,3,8,6,6,3,6,8,4,8,6,3,6,6,4,8,6,6,6,90.68
5,4,6,8,3,4,8,3,8,4,8,8,4,6,5,3,4,3,5,3,89.94
4,6,6,6,4,6,8,4,6,8,5,8,3,5,5,5,6,3,8,6,90.58
6,3,3,3,5,8,6,8,8,4,8,3,3,8,8,6,5,6,6,4,90.18
6,6,5,8,3,3,6,3,5,6,8,5,6,6,3,6,8,3,8,5,90.25999999999999
6,5,5,5,8,6,3,6,4,3,3,6,3,5,6,3,3,8,5,3,91.25999999999999
3,8,6,8,6,3,8,3,8,3,4,5,8,6,4,6,6,8,5,5,90.84
5,8,4,6,5,3,5,3,4,8,4,8,5,3,4,4,5,3,3,5,90.2
6,5,5,5,4,6,5,6,4,5,3,3,6,3,5,5,6,4,8,5,90.28
5,6,5,6,5,8,4,5,8,8,3,6,4,8,5,4,5,6,6,4,90.68
3,4,6,8,8,6,8,6,8,6,4,3,4,5,4,6,5,3,4,4,90.66
5,6,4,3,3,3,6,6,3,5,5,3,3,6,3,4,4,6,4,3,89.58
8,8,6,6,5,3,8,5,5,4,3,6,6,5,5,6,6,4,6,5,90.97999999999999
3,3,8,8,6,4,4,5,4,3,4,3,3,3,4,4,6,5,4,3,90.3
3,5,4,3,4,5,6,8,4,6,6,8,8,6,8,4,3,8,8,8,89.62
5,5,6,5,8,4,3,5,4,5,4,5,6,3,6,8,5,4,3,6,89.75999999999999
3,5,8,5,3,6,3,6,4,8,6,5,5,5,5,6,6,4,3,3,90.75999999999999
3,8,6,8,3,8,8,5,4,5,4,6,8,3,6,3,5,8,5,5,91.02
5,3,5,3,4,6,3,3,4,3,4,8,6,4,8,6,4,6,5,8,89.75999999999999
5,5,6,8,4,8,6,8,8,5,4,8,5,4,3,5,4,6,3,5,90.46
8,3,4,4,4,8,8,6,6,6,4,3,4,8,5,4,4,4,3,6,90.62
5,6,4,8,3,3,6,4,8,6,3,8,6,5,5,4,4,4,3,3,89.94
6,8,8,4,5,3,6,3,5,4,4,8,8,6,6,8,4,3,6,3,91.10000000000001
5,8,8,5,4,6,5,5,5,5,3,3,4,8,5,4,4,6,3,5,89.86
5,5,3,6,3,4,6,3,8,3,3,5,6,6,6,8,8,6,5,3,90.10000000000001
8,8,3,4,5,3,4,8,8,5,6,3,3,3,5,4,5,5,8,8,90.3
4,3,5,3,8,6,4,6,8,8,3,8,5,3,6,8,8,3,5,8,90.60000000000001
3,4,6,6,5,3,4,8,3,6,8,8,6,5,8,5,5,3,3,8,90.64
6,8,4,3,8,6,4,8,3,8,4,6,4,5,8,5,4,8,5,8,90.88000000000001
3,5,4,6,5,3,4,3,5,3,3,4,5,8,4,5,8,3,3,4,89.98
5,5,4,6,3,3,3,5,8,4,6,3,6,6,8,4,8,6,4,3,90.44
3,5,5,4,6,8,4,6,4,4,8,4,8,5,4,3,5,8,4,4,89.66
5,4,5,5,6,4,3,4,3,3,5,4,8,4,3,8,4,5,6,3,90.12
8,5,8,8,3,4,5,3,4,5,8,4,5,5,6,8,4,8,4,8,90.34
5,8,5,6,5,8,4,6,6,6,3,6,8,4,4,4,6,6,4,4,89.78
3,3,8,5,5,3,8,4,3,4,8,4,3,3,6,8,6,3,6,8,90.5
8,8,6,3,6,4,4,3,5,6,3,4,3,3,6,6,5,8,8,3,90.16
6,3,8,4,8,5,3,4,8,3,6,4,4,4,8,4,6,3,6,8,90.12
8,6,6,3,3,3,8,5,8,3,5,6,8,6,8,4,6,6,4,6,90.2
4,4,5,8,6,5,6,6,8,4,5,3,6,6,4,4,6,4,3,6,90.94
4,8,4,5,6,4,6,6,6,6,3,6,8,4,6,8,4,8,3,6,90.22
5,5,8,3,3,6,5,5,3,3,5,4,8,8,5,6,3,8,5,4,89.06
8,8,8,8,5,3,6,6,6,6,3,4,6,8,6,4,4,4,8,4,91.34
3,5,5,6,5,6,8,3,4,3,4,4,4,8,6,8,6,6,6,5,89.46000000000001
3,4,6,8,6,5,8,8,3,6,3,5,4,8,5,4,6,8,5,4,90.46
8,4,5,5,8,5,8,4,8,3,4,8,8,8,8,3,4,3,3,6,90.3
6,6,6,3,3,8,5,4,8,8,3,6,8,3,6,6,8,6,5,3,89.86
3,6,3,4,5,4,3,8,3,6,5,3,6,4,6,8,3,8,8,8,89.48
8,4,3,4,8,4,4,4,5,8,5,3,3,4,6,3,6,6,6,5,90.74
8,5,5,6,5,3,4,6,4,4,3,3,3,6,8,6,8,6,3,4,90.86
5,4,5,6,5,4,6,5,4,4,8,3,5,3,5,4,5,4,8,6,89.78
5,6,5,3,3,4,5,4,3,8,3,4,4,4,5,4,8,4,4,6,90.32
8,3,6,6,5,5,5,4,5,4,4,3,4,3,8,4,3,4,8,4,90.02
6,8,8,3,6,8,6,6,4,4,6,3,3,6,5,6,3,6,5,8,90.52
4,8,5,3,4,3,8,4,4,8,4,3,4,4,3,4,8,8,3,4,91.12
6,3,5,8,8,4,8,5,3,8,6,6,4,6,6,6,8,8,5,4,90.36
6,5,3,3,6,4,8,8,3,8,8,6,8,5,4,3,8,5,3,3,90.86
8,5,3,6,3,5,4,8,5,8,4,3,8,3,6,8,8,8,5,8,90.36
3,8,5,3,5,6,5,3,3,4,5,4,4,3,3,8,8,4,5,8,89.16
5,6,8,4,5,6,5,3,5,3,5,3,5,3,4,8,5,5,5,6,90.3
5,3,3,8,8,6,6,5,4,4,6,3,4,6,8,5,8,6,3,8,89.64
5,3,8,3,6,4,5,6,4,3,3,5,4,5,8,5,6,4,3,5,90.7
5,5,3,4,6,3,4,5,8,6,5,4,4,4,8,6,8,8,6,3,90.64
8,5,3,5,3,8,3,6,6,3,8,3,6,8,8,3,8,8,5,6,91.22
8,6,5,8,8,4,5,4,6,8,5,3,5,6,6,8,6,5,8,6,89.86
3,3,5,5,5,6,8,6,3,6,4,3,8,4,3,4,4,3,8,5,89.84
3,3,8,5,6,3,8,8,3,6,3,4,4,3,3,8,5,4,6,6,89.88000000000001
3,3,8,3,5,5,6,3,5,8,6,5,5,8,5,5,4,4,4,3,90.62
3,6,5,6,5,6,5,5,8,5,4,5,3,4,6,3,3,4,3,5,89.7
8,5,5,8,4,3,8,6,5,8,3,3,5,5,6,4,5,5,5,6,90.66
6,5,5,6,8,3,8,6,6,4,5,6,3,5,6,8,5,8,5,3,90.18
3,3,4,4,5,8,5,5,3,3,5,3,3,6,8,4,3,6,5,4,89.88000000000001
4,8,3,4,4,3,5,3,8,5,8,8,5,3,3,5,8,4,3,5,89.72
5,8,8,6,6,5,8,5,4,8,3,6,5,3,4,8,5,3,4,3,90.58
4,5,6,5,5,8,6,6,4,6,5,5,4,3,8,6,8,8,8,6,91.0
3,5,3,6,8,8,3,6,6,5,8,6,3,8,4,5,4,3,4,6,91.3
4,4,6,8,6,3,6,8,3,3,4,6,4,3,8,6,5,8,4,4,89.66
3,5,8,3,3,8,6,4,8,5,3,5,4,3,3,4,4,5,5,6,90.06
3,4,5,8,8,3,6,5,8,3,3,5,6,5,3,8,8,5,3,8,89.52
8,8,3,3,8,8,8,4,8,4,5,3,5,3,6,6,8,4,8,4,90.34
3,8,3,6,4,8,6,6,3,6,8,4,3,5,8,6,5,8,3,8,90.16
8,5,3,5,8,4,3,3,8,6,8,5,5,5,3,8,4,5,5,6,90.4
8,8,8,8,5,4,3,6,8,8,6,6,3,5,4,5,8,5,6,3,92.06
4,5,4,5,8,3,5,5,4,4,5,4,5,4,8,6,5,4,4,3,90.25999999999999
8,4,3,6,8,6,5,4,4,4,8,5,3,6,5,4,3,5,3,5,90.08
6,8,8,8,5,8,6,8,6,6,3,5,8,3,6,4,4,5,5,5,90.56
4,4,8,6,3,4,6,5,6,4,3,6,3,6,8,4,8,4,8,6,90.36
4,4,4,6,8,8,8,6,8,5,3,5,8,5,3,5,6,6,8,8,90.64
4,8,8,5,8,3,8,3,4,6,3,3,5,3,3,5,5,6,4,5,90.46
8,8,4,3,5,4,3,8,8,8,6,3,4,8,5,4,8,4,3,8,90.58
6,6,4,3,6,8,5,4,3,5,5,8,3,8,3,4,4,5,6,8,90.2
8,3,6,6,4,5,8,6,8,6,4,5,6,8,3,4,4,3,8,5,90.44
4,8,6,5,5,6,4,3,3,5,5,3,8,5,6,8,3,3,6,4,89.88000000000001
3,6,4,8,8,5,6,8,3,4,3,6,8,5,3,5,6,3,5,4,90.53999999999999
4,4,4,8,8,8,4,5,3,3,6,5,5,4,3,6,3,5,4,4,90.14
3,4,3,8,3,3,8,3,4,6,5,3,4,5,4,3,4,4,5,6,90.5
3,8,6,8,8,5,6,3,4,3,4,6,5,8,8,6,6,6,5,8,90.16
3,5,5,6,6,4,8,4,3,8,8,8,5,4,4,6,8,6,6,6,90.36
6,5,4,6,4,6,5,5,8,3,5,3,6,4,3,4,6,5,8,6,90.16
3,8,3,8,5,4,4,5,6,8,5,8,8,6,5,5,4,8,4,3,90.38000000000001
6,4,4,4,4,5,4,8,5,8,8,4,8,6,8,8,3,8,8,3,90.60000000000001
3,8,8,3,5,4,6,8,4,4,5,5,3,4,4,8,6,6,3,6,89.38000000000001
4,6,4,8,4,8,3,5,5,3,4,3,8,3,3,6,3,4,8,4,89.86
3,5,3,3,5,8,3,5,5,3,4,5,5,5,6,4,8,8,6,8,89.58
8,8,3,6,4,6,4,3,5,3,4,6,5,5,3,4,4,3,5,5,90.82000000000001
6,8,8,3,4,5,3,3,4,5,3,6,8,6,5,4,5,3,3,3,90.97999999999999
4,5,6,6,5,3,8,3,3,3,6,8,6,8,6,5,5,6,5,3,90.7
5,5,4,5,3,8,4,8,3,3,6,4,5,6,3,6,4,3,5,4,91.36
4,5,5,3,5,6,3,8,3,5,3,8,4,8,6,5,8,6,8,5,90.96
8,4,4,3,3,6,5,6,5,6,5,5,3,3,3,8,4,4,3,4,89.84
5,8,6,8,5,4,5,6,6,4,6,6,8,6,8,3,5,5,4,8,90.25999999999999
4,6,8,6,8,6,6,4,8,3,6,5,8,5,6,6,5,3,4,8,91.08000000000001
3,8,4,4,6,3,3,5,3,8,5,4,5,5,3,5,8,4,8,8,90.66
3,8,6,5,4,5,6,3,4,3,6,4,6,5,3,4,6,5,8,6,90.96
3,4,3,4,3,4,3,8,6,3,3,6,3,3,8,5,4,4,4,3,90.18
8,4,4,3,5,3,5,3,5,5,8,3,4,4,5,4,5,4,6,6,90.62
4,8,5,8,4,4,6,5,6,8,5,8,4,6,6,4,3,4,6,3,90.53999999999999
8,8,4,8,8,8,5,4,3,6,5,3,5,5,4,8,8,5,6,8,89.62
4,5,6,4,8,4,3,4,8,4,5,6,4,6,6,8,6,5,6,5,90.92
3,6,4,8,6,4,3,8,6,6,8,5,4,4,8,6,6,3,8,6,90.28
8,3,6,8,4,8,6,3,3,5,5,4,5,5,3,8,8,5,3,3,90.34
5,5,3,8,6,4,3,3,5,6,5,4,5,6,5,4,8,6,4,5,89.88000000000001
4,3,3,6,3,4,8,8,4,6,3,4,6,6,8,6,6,6,5,6,90.3
8,4,4,6,6,6,4,8,5,6,6,8,4,4,6,4,5,8,6,3,90.34
4,4,8,6,8,3,5,5,4,5,4,3,6,6,4,5,6,3,8,4,91.38
5,4,6,6,6,4,5,3,8,8,5,4,5,4,3,6,8,5,8,6,90.78
4,3,3,8,6,6,5,6,8,6,8,3,5,3,3,8,6,6,6,4,90.3
4,4,3,5,5,6,6,5,6,8,5,8,6,4,4,5,5,3,8,8,90.72
3,3,3,3,3,5,3,3,6,6,5,6,5,8,5,4,3,4,8,8,88.72
5,4,3,4,3,5,6,5,3,6,3,5,5,6,8,5,6,4,3,4,89.24
5,3,3,8,5,6,3,8,4,4,3,4,3,8,6,5,5,4,4,4,90.2
4,4,4,6,4,3,6,6,8,5,8,4,5,6,8,6,5,4,4,3,91.02
5,5,8,3,4,8,5,4,8,3,8,5,6,5,8,5,6,4,4,8,91.36
8,3,3,6,6,6,4,3,8,8,5,5,3,8,3,4,5,4,6,8,88.53999999999999
4,4,3,6,4,5,4,4,8,6,4,6,5,8,3,3,5,8,8,5,89.88000000000001
5,6,3,4,4,3,6,5,5,3,6,5,4,3,6,3,5,8,6,3,90.12
8,4,5,5,4,5,3,5,3,6,4,6,8,5,8,6,8,4,4,3,90.7
8,6,8,3,3,8,4,6,4,8,4,6,4,4,3,8,8,6,4,6,91.12
6,6,5,8,3,3,8,4,8,5,8,5,3,4,3,6,5,4,4,3,90.36
6,8,8,5,3,3,8,8,3,8,5,3,6,8,8,3,5,6,5,4,91.32000000000001
4,4,6,5,4,8,3,8,6,4,5,6,4,4,4,6,4,3,3,3,89.52
6,5,8,5,3,5,5,5,3,5,8,4,8,8,5,6,4,3,4,3,89.96
4,5,6,8,5,6,4,3,3,5,8,3,8,8,8,3,5,6,4,6,90.14
6,5,3,8,3,6,5,5,3,6,4,6,8,6,5,5,6,5,3,6,90.4
4,8,8,8,6,5,8,8,4,8,5,5,4,3,6,6,3,8,8,6,91.32000000000001
5,5,8,6,8,6,4,4,3,4,6,5,3,4,4,5,6,6,4,3,90.52
4,3,3,4,8,3,3,5,6,6,6,8,6,5,5,6,6,3,4,3,89.88000000000001
3,4,6,8,8,4,6,3,8,4,5,8,4,5,6,8,8,8,4,3,90.7
3,5,8,6,4,8,4,4,4,4,3,3,5,4,4,3,6,3,4,6,90.14
4,4,3,8,8,5,3,5,6,4,4,4,3,4,3,8,5,8,5,4,90.03999999999999
3,4,5,5,5,6,4,4,8,6,6,6,4,4,4,6,8,6,5,5,90.68
8,3,8,3,4,8,4,8,5,6,6,4,6,3,5,5,5,3,5,3,90.34
6,3,6,6,3,8,3,3,6,6,6,3,4,6,3,6,8,8,6,6,90.44
3,5,3,8,6,4,4,4,4,8,3,4,8,6,4,3,4,8,8,5,89.28
8,3,5,6,8,4,6,3,4,5,8,3,5,5,8,5,4,5,6,6,90.96
8,3,3,5,3,8,6,6,3,3,6,8,8,6,8,3,3,4,3,4,88.92
5,3,8,4,3,3,5,4,5,6,5,6,8,3,5,4,8,4,6,3,90.48
5,5,8,3,6,5,8,5,8,3,8,6,6,5,5,3,6,3,5,4,90.68
6,5,4,6,5,8,6,8,4,5,6,4,5,6,5,5,3,6,8,6,90.64
5,4,8,4,3,3,8,5,4,3,6,8,3,4,3,6,4,8,6,6,90.42
8,8,6,8,4,5,8,6,4,8,4,6,4,3,3,4,6,3,5,4,90.5
5,4,3,5,4,4,4,6,5,5,8,8,6,8,3,6,6,8,5,6,90.24
8,5,8,4,4,3,3,3,6,3,4,5,5,5,4,3,4,5,5,8,90.0
6,4,6,6,8,3,4,4,5,8,8,5,5,4,5,3,3,5,5,5,90.56
4,5,4,4,5,5,5,5,3,8,4,6,6,4,8,6,3,4,5,4,90.02
5,4,6,8,5,8,6,5,8,4,5,5,6,3,3,5,5,8,5,8,89.82
4,6,5,3,4,6,4,4,8,4,4,3,6,8,6,8,6,3,3,8,90.3
8,3,6,6,5,6,5,4,4,8,8,4,3,4,8,3,3,5,5,8,89.7
3,3,6,8,4,8,4,6,3,3,4,8,5,4,4,5,8,8,5,5,90.5
8,8,5,8,8,8,3,3,5,6,5,6,8,6,8,8,4,3,4,8,90.12
3,6,6,6,5,3,8,5,3,6,8,8,5,6,6,3,5,8,4,3,90.0
6,8,3,3,5,4,6,4,6,8,3,5,4,6,4,5,4,3,4,3,90.3
4,4,3,4,6,6,5,6,5,5,8,4,3,3,3,3,8,8,6,8,89.9
4,4,6,8,8,4,3,6,5,8,6,8,3,6,6,4,8,4,5,8,90.16
4,4,5,6,5,8,8,3,3,8,4,5,5,3,3,5,8,3,4,4,90.18
5,5,5,3,3,5,6,4,6,3,4,4,8,6,5,4,8,4,8,4,90.0
6,3,8,4,4,3,6,4,3,4,8,8,6,8,5,6,3,8,4,3,90.22
6,5,5,3,5,5,5,6,4,8,8,8,4,4,6,8,3,6,5,5,89.92
5,4,8,6,3,3,6,6,3,6,6,3,4,5,5,4,5,4,4,6,89.96
6,5,4,4,8,5,8,6,4,4,5,3,5,5,4,5,3,3,8,6,90.48
5,4,3,6,8,3,6,8,3,4,3,5,4,6,4,5,8,4,8,3,90.97999999999999
8,3,4,4,3,6,4,5,8,4,8,4,3,4,5,8,6,8,3,5,90.56
6,5,4,8,3,8,5,5,3,5,8,6,3,5,8,5,5,3,3,8,89.98
8,6,4,5,4,5,4,4,4,8,3,5,5,6,6,3,5,6,8,8,90.78
8,3,5,8,8,6,5,3,3,5,4,5,4,4,6,5,3,4,5,3,90.62
3,5,4,4,3,3,5,5,5,3,8,3,4,5,5,5,3,5,5,6,89.92
8,8,6,4,8,5,3,6,5,6,8,4,8,5,4,5,3,4,8,6,90.74
8,8,6,4,4,4,3,4,3,3,8,3,4,6,8,8,5,5,8,6,89.96
5,8,8,6,3,8,3,6,3,3,6,6,6,4,3,3,6,6,6,8,90.14
4,4,5,8,4,8,4,8,5,5,6,4,8,8,4,6,8,3,4,6,91.06
8,8,6,5,5,4,5,6,8,8,5,8,4,3,5,8,8,8,5,4,91.0
4,5,3,4,8,3,4,8,5,4,5,8,4,4,4,8,4,3,5,4,89.96
4,5,6,5,8,8,3,5,5,5,8,3,3,3,5,6,3,4,3,5,90.44
4,5,4,4,3,4,5,5,3,4,3,8,5,5,5,5,4,5,5,6,90.34
5,6,6,3,6,4,6,5,6,6,3,5,3,8,8,8,5,4,4,6,90.0
5,3,6,8,3,3,8,5,4,8,6,6,6,8,4,4,3,3,6,3,90.18
4,8,5,8,4,4,4,4,8,8,6,8,3,8,8,6,8,8,8,4,90.38000000000001
8,5,5,5,4,4,8,8,5,8,6,5,8,5,3,5,4,6,8,6,90.8
8,3,3,6,6,5,6,6,6,4,6,8,5,3,5,4,3,3,4,5,90.56
3,8,6,5,4,6,5,8,4,3,3,4,4,3,3,6,3,4,8,8,89.82
3,3,3,5,3,4,4,8,5,4,6,6,6,6,3,3,3,6,8,5,89.18
3,5,6,4,8,3,5,6,5,4,5,3,5,5,6,3,6,5,4,8,89.3
4,4,6,8,4,5,3,3,8,5,4,5,6,6,3,5,5,6,5,8,89.98
4,6,4,4,5,5,3,6,4,6,4,5,6,6,6,5,4,8,4,3,90.48
4,8,5,4,6,6,3,5,4,3,5,8,8,4,3,3,3,6,4,3,89.48
8,3,5,5,5,4,8,8,5,6,4,3,3,6,3,5,6,8,8,8,90.5
3,8,4,6,8,8,6,4,4,3,8,4,4,3,6,3,8,4,5,3,90.25999999999999
8,4,6,8,5,8,4,8,4,3,6,8,5,3,5,4,8,4,8,8,90.78
8,6,4,4,8,3,3,6,5,5,3,3,3,6,4,4,8,3,3,8,90.34
4,4,3,8,5,3,6,8,6,4,6,6,4,6,3,3,4,6,3,5,90.4
4,8,4,3,3,5,3,5,3,8,6,3,3,6,6,3,4,8,3,4,90.88000000000001
3,5,4,6,3,3,5,4,6,4,4,5,3,8,3,6,3,3,8,5,90.0
4,8,5,6,6,6,3,6,4,4,3,6,3,6,4,6,5,5,8,4,90.12
5,6,3,3,8,4,3,4,6,5,5,6,6,4,4,3,3,6,6,4,90.18
6,8,3,6,4,4,5,3,6,5,8,8,5,5,3,5,4,6,3,4,90.32
5,6,6,8,8,3,5,3,8,8,6,6,3,6,4,3,8,8,4,5,90.38000000000001
8,3,6,8,4,3,4,6,3,6,4,3,8,3,5,8,3,8,3,3,89.86
4,8,6,8,5,3,3,6,8,8,4,4,5,4,5,8,5,5,5,4,90.34
6,5,3,8,4,8,3,3,4,4,5,5,4,4,6,3,6,3,8,8,90.66
8,8,6,5,8,3,5,8,3,8,3,5,5,3,3,5,4,3,3,5,90.34
4,3,3,6,5,3,8,8,4,8,4,6,6,4,8,6,5,4,4,8,90.3
6,4,8,6,4,3,6,8,6,4,3,8,4,4,6,3,4,8,5,5,90.94
6,3,8,8,5,3,3,4,3,5,8,8,3,4,3,3,8,8,5,4,90.5
3,3,5,3,4,8,4,6,8,4,3,5,4,5,4,3,6,3,6,8,89.42
8,8,4,8,4,3,3,4,5,5,8,5,4,4,5,3,4,5,8,5,90.42
6,5,5,3,4,5,5,6,6,5,3,5,4,4,6,5,5,4,3,6,90.25999999999999
5,8,4,4,4,3,4,3,8,3,3,5,4,6,3,4,5,4,6,6,89.4
5,4,4,6,3,4,4,3,6,3,6,6,3,5,8,8,5,5,3,5,90.75999999999999
5,3,3,6,6,6,3,3,6,8,3,4,8,3,4,8,4,3,3,4,90.5
5,5,4,6,3,4,8,4,6,4,6,8,8,8,6,4,5,6,6,5,90.4
8,8,8,8,6,4,3,4,4,5,5,8,6,3,8,5,6,4,4,4,91.16
4,8,6,4,6,8,6,8,4,8,3,4,5,6,5,5,4,8,8,3,90.34
5,5,3,3,6,3,3,4,8,5,5,6,3,3,5,3,6,5,6,8,89.82
6,5,4,8,6,6,8,5,6,6,6,6,6,5,4,3,6,8,5,8,91.0
3,5,6,6,6,3,6,8,4,4,8,8,3,8,8,6,4,6,5,5,90.60000000000001
3,5,5,6,6,3,8,6,4,6,8,3,6,6,5,4,4,8,6,4,90.03999999999999
3,3,3,3,6,6,6,3,6,5,6,8,6,5,5,8,4,4,3,6,89.14
6,4,6,8,5,4,3,3,6,3,3,3,4,8,5,4,6,6,4,3,89.96
6,4,5,6,5,5,3,8,6,6,4,5,4,8,5,5,6,8,8,8,90.58
3,8,4,6,5,4,4,5,8,8,5,3,5,6,3,5,4,5,6,4,90.8
4,8,3,3,8,5,5,8,3,8,6,4,3,8,6,5,4,5,8,6,90.34
4,6,8,4,4,6,6,3,4,5,4,6,3,3,5,6,5,4,3,8,90.58
3,5,6,8,5,3,8,5,3,3,5,6,4,5,5,3,3,3,4,3,89.78
5,4,6,5,8,4,8,4,8,8,3,6,4,8,8,8,4,4,4,6,91.0
4,8,8,4,8,3,4,6,6,8,3,5,6,3,4,4,8,4,4,4,90.14
4,3,5,5,6,8,6,3,5,5,5,4,6,5,5,6,6,5,8,6,90.06
8,6,5,8,3,4,8,5,6,5,8,3,8,4,3,6,8,3,5,6,90.14
3,3,5,3,6,8,4,3,5,5,6,3,4,8,6,8,5,8,4,4,90.2
8,6,6,4,8,5,8,5,6,8,8,3,5,5,4,4,3,8,5,4,90.62
3,5,5,6,6,6,8,4,6,4,6,3,4,3,5,4,3,3,3,3,89.88000000000001
5,3,3,8,6,3,6,6,8,8,6,8,6,4,4,8,3,6,5,6,90.03999999999999
5,8,6,5,3,4,8,5,6,4,8,5,8,4,5,3,5,5,4,8,90.03999999999999
4,6,5,5,4,4,4,8,5,3,6,4,4,6,5,4,6,6,4,5,90.5
5,4,4,5,5,6,6,4,4,3,4,3,4,4,5,8,6,4,8,4,89.86
8,6,3,4,3,8,8,4,4,8,5,8,6,8,4,6,4,4,6,8,91.28
4,3,4,4,5,8,3,3,8,8,3,5,8,3,6,6,3,8,4,3,89.75999999999999
8,6,3,8,5,3,3,5,6,5,3,4,8,6,3,5,4,3,5,4,90.10000000000001
8,5,3,3,6,6,3,3,5,8,4,5,3,5,3,4,3,6,3,5,89.74
4,5,8,5,3,3,3,3,4,5,3,6,5,3,3,6,3,8,6,5,89.48
3,4,5,3,3,5,5,4,6,5,6,6,5,6,8,6,4,5,3,4,90.3
8,3,6,5,5,6,3,8,3,5,8,8,5,8,8,8,5,6,5,6,90.10000000000001
4,6,5,4,8,4,6,8,4,3,5,4,8,5,4,4,3,6,4,3,90.22
6,3,5,5,6,6,5,6,5,4,5,8,8,5,3,8,8,4,8,4,90.62
5,5,6,8,3,6,6,8,6,4,3,3,4,6,6,5,3,3,6,6,90.34
5,8,4,8,3,6,4,8,6,8,8,6,3,8,6,6,5,8,8,6,90.56
3,6,5,5,4,4,6,4,4,6,8,3,6,5,4,3,8,6,3,3,89.1
3,8,8,4,8,4,4,3,3,6,8,8,6,6,4,5,5,4,5,5,90.68
8,6,5,3,6,6,4,5,6,6,5,3,4,4,4,8,6,4,4,5,90.94
8,4,3,3,8,5,8,8,5,3,6,3,4,3,4,8,6,3,6,4,90.24
3,3,5,6,6,3,4,4,8,8,4,5,4,6,8,3,5,8,8,5,90.44
6,5,3,5,8,8,3,5,8,4,6,6,5,4,3,3,4,6,3,3,89.75999999999999
8,8,4,5,3,4,4,8,8,6,6,8,3,5,5,5,8,4,4,5,89.58
8,4,6,6,8,5,8,3,3,6,6,5,8,8,6,3,8,8,8,3,90.42
5,6,5,5,6,8,6,8,6,3,3,3,8,8,5,5,6,8,6,4,90.53999999999999
4,6,8,5,6,3,5,3,3,3,3,4,5,5,3,6,3,5,4,3,89.62
6,5,8,6,3,4,8,5,6,3,3,4,3,8,3,4,4,4,4,4,89.8
6,5,6,6,3,8,3,8,5,3,6,6,6,6,3,5,4,3,6,3,89.58
5,5,8,6,8,6,6,8,5,4,3,8,6,3,3,5,3,8,6,5,90.0
8,5,4,8,4,3,6,4,6,6,4,5,4,5,5,3,6,6,5,8,90.56
3,6,4,8,6,3,6,8,4,8,6,3,6,8,5,6,6,3,6,5,90.38000000000001
4,3,8,4,6,6,3,8,8,4,3,6,8,8,3,3,6,4,5,3,90.44
6,6,4,8,3,5,5,8,5,8,3,5,6,8,4,4,8,5,3,6,90.62
3,3,6,3,6,4,5,8,4,8,5,4,5,6,5,4,5,5,5,4,90.62
6,8,6,8,4,8,5,4,6,3,5,4,3,6,8,4,5,6,5,5,90.72
8,4,5,4,3,5,4,8,3,8,6,5,8,5,5,5,8,5,8,5,90.16
3,4,8,5,5,8,3,3,8,5,8,5,3,5,3,3,6,3,4,6,89.2
8,8,4,4,4,4,6,4,5,6,3,6,8,8,5,4,6,4,4,3,90.06
4,3,4,3,3,8,5,8,5,4,5,6,4,4,6,4,3,3,8,8,90.03999999999999
6,4,8,4,4,4,8,3,3,4,4,3,4,8,5,6,3,8,4,6,90.42
5,8,4,5,8,8,6,6,3,5,3,3,5,3,4,8,5,4,6,6,90.25999999999999
3,3,8,5,3,5,6,3,5,6,6,8,6,6,5,6,3,8,8,4,90.46
3,3,6,4,6,6,8,8,3,6,5,5,6,4,4,6,8,5,6,6,90.60000000000001
4,3,4,4,4,8,5,8,3,8,6,5,5,5,3,4,3,4,3,4,89.26
