features.3,features.6,features.8,features.10,classifier.1,classifier.4,acc
7,2,6,3,5,3,0.8438146791912127
3,2,6,6,6,4,5.150453749402962
4,4,7,2,3,3,1.042827575226879
6,4,6,3,7,7,31.794300270657537
7,6,7,7,7,2,7.602292628562335
3,5,3,4,5,4,2.276707530647981
7,6,7,2,5,6,0.9950644801783204
5,4,2,7,7,6,15.467282279891737
7,2,7,3,7,2,0.9791434484954675
5,7,3,5,5,5,8.255054927559302
5,2,6,6,7,6,15.379716605636041
2,2,4,4,3,7,2.730456933609293
7,3,4,7,3,5,2.085655150453747
2,5,2,5,2,4,0.9074988059226241
2,7,7,5,5,5,5.827097595924213
4,6,5,7,5,6,46.98296449609934
5,6,5,4,5,3,2.738417449450725
5,4,6,4,3,6,3.43098232765483
3,4,4,5,6,7,24.797006846043622
4,5,7,7,6,3,24.948256647030732
3,2,2,4,2,2,0.915459321764045
4,5,7,2,6,7,2.738417449450725
7,3,5,3,2,4,1.034867059385447
7,2,4,2,3,4,1.1065117019582904
4,5,2,3,3,3,1.0189460277025941
3,7,2,7,4,7,1.1224327336411433
6,7,2,5,7,2,0.9313803534468978
5,3,6,3,2,3,0.9552619009711827
7,2,3,4,7,4,3.9484158573475536
5,4,5,5,3,5,2.6030886801464703
5,7,4,7,7,3,19.160961630313643
4,3,5,6,6,6,41.70514249323356
3,2,2,7,4,6,0.9473013851297618
7,5,7,5,2,7,1.0587486069097318
2,2,7,3,6,4,2.961311893010665
6,4,3,7,4,4,1.1383537653239961
4,3,3,2,4,5,1.0746696385925847
3,5,7,7,2,5,1.735392453430984
6,7,4,4,7,2,4.577296608820247
2,2,4,3,6,2,1.0587486069097318
4,5,6,6,2,3,1.026906543544026
6,4,2,3,6,2,1.026906543544026
7,2,2,2,6,4,1.0826301544340056
6,6,7,7,3,3,0.9791434484954675
2,7,6,2,7,5,0.9632224168126147
4,2,5,4,5,7,6.567425569176888
5,2,3,5,7,4,5.787295016717087
5,7,3,3,7,5,12.736825346282444
2,6,3,5,2,5,1.719471421748131
4,7,5,3,5,2,0.9313803534468978
7,3,4,3,7,7,17.099188027384173
5,5,4,3,2,6,1.600063684126729
5,7,2,6,3,4,1.1065117019582904
6,2,7,7,5,4,1.1065117019582904
