count,total,acc
20,64800,20.0
40,64800,17.5
60,64800,20.0
80,64800,18.75
100,64800,18.0
120,64800,19.166666666666668
140,64800,20.714285714285715
160,64800,20.0
180,64800,20.555555555555557
200,64800,20.5
220,64800,22.727272727272727
240,64800,23.75
260,64800,24.615384615384617
280,64800,23.928571428571427
300,64800,24.666666666666668
320,64800,24.6875
340,64800,25.294117647058822
360,64800,25.27777777777778
380,64800,25.789473684210527
400,64800,26.5
420,64800,26.904761904761905
440,64800,27.5
460,64800,27.608695652173914
480,64800,28.333333333333332
500,64800,28.0
520,64800,28.46153846153846
540,64800,29.074074074074073
560,64800,28.928571428571427
580,64800,29.137931034482758
600,64800,29.166666666666668
620,64800,29.838709677419356
640,64800,29.84375
660,64800,29.696969696969695
680,64800,29.852941176470587
700,64800,29.428571428571427
720,64800,30.13888888888889
740,64800,30.135135135135137
760,64800,30.789473684210527
780,64800,30.897435897435898
800,64800,31.0
820,64800,30.975609756097562
840,64800,31.785714285714285
860,64800,31.86046511627907
880,64800,31.818181818181817
900,64800,32.22222222222222
920,64800,32.391304347826086
940,64800,32.340425531914896
960,64800,32.5
980,64800,32.6530612244898
1000,64800,32.8
1020,64800,32.745098039215684
1040,64800,33.46153846153846
1060,64800,33.9622641509434
1080,64800,34.351851851851855
1100,64800,34.27272727272727
1120,64800,34.19642857142857
1140,64800,34.3859649122807
1160,64800,34.310344827586206
1180,64800,34.23728813559322
1200,64800,34.25
1220,64800,34.42622950819672
1240,64800,34.354838709677416
1260,64800,34.20634920634921
1280,64800,34.53125
1300,64800,34.84615384615385
1320,64800,35.15151515151515
1340,64800,35.44776119402985
1360,64800,35.36764705882353
1380,64800,35.57971014492754
1400,64800,35.785714285714285
1420,64800,36.12676056338028
1440,64800,36.111111111111114
1460,64800,36.57534246575342
1480,64800,36.554054054054056
1500,64800,36.733333333333334
1520,64800,37.30263157894737
1540,64800,37.33766233766234
1560,64800,37.43589743589744
1580,64800,37.721518987341774
1600,64800,38.1875
1620,64800,38.641975308641975
1640,64800,38.84146341463415
1660,64800,39.21686746987952
1680,64800,39.523809523809526
1700,64800,39.8235294117647
1720,64800,40.05813953488372
1740,64800,40.28735632183908
1760,64800,40.625
1780,64800,40.95505617977528
1800,64800,41.0
1820,64800,41.0989010989011
1840,64800,41.19565217391305
1860,64800,41.29032258064516
1880,64800,41.648936170212764
1900,64800,41.63157894736842
1920,64800,41.770833333333336
1940,64800,41.90721649484536
1960,64800,42.09183673469388
1980,64800,42.27272727272727
2000,64800,42.2
2020,64800,42.42574257425743
2040,64800,42.64705882352941
2060,64800,42.96116504854369
2080,64800,43.17307692307692
2100,64800,43.333333333333336
2120,64800,43.632075471698116
2140,64800,43.64485981308411
2160,64800,43.75
2180,64800,43.99082568807339
2200,64800,44.36363636363637
2220,64800,44.729729729729726
2240,64800,44.776785714285715
2260,64800,45.04424778761062
2280,64800,45.175438596491226
2300,64800,45.34782608695652
2320,64800,45.51724137931034
2340,64800,45.64102564102564
2360,64800,45.76271186440678
2380,64800,45.88235294117647
2400,64800,46.166666666666664
2420,64800,46.40495867768595
2440,64800,46.63934426229508
2460,64800,46.951219512195124
2480,64800,47.13709677419355
2500,64800,47.48
2520,64800,47.73809523809524
2540,64800,47.91338582677165
2560,64800,48.0078125
2580,64800,48.25581395348837
2600,64800,48.42307692307692
2620,64800,48.66412213740458
2640,64800,48.82575757575758
2660,64800,48.909774436090224
2680,64800,49.06716417910448
2700,64800,49.2962962962963
2720,64800,49.595588235294116
2740,64800,49.56204379562044
2760,64800,49.710144927536234
2780,64800,49.856115107913666
2800,64800,49.964285714285715
2820,64800,49.9645390070922
2840,64800,50.105633802816904
2860,64800,50.27972027972028
2880,64800,50.55555555555556
2900,64800,50.724137931034484
2920,64800,50.85616438356164
2940,64800,50.91836734693877
2960,64800,51.08108108108108
2980,64800,51.1744966442953
3000,64800,51.36666666666667
3020,64800,51.52317880794702
3040,64800,51.64473684210526
3060,64800,51.69934640522876
3080,64800,51.81818181818182
3100,64800,51.903225806451616
3120,64800,52.05128205128205
3140,64800,52.07006369426752
3160,64800,52.18354430379747
3180,64800,52.35849056603774
3200,64800,52.5
3220,64800,52.608695652173914
3240,64800,52.74691358024691
3260,64800,52.97546012269939
3280,64800,53.170731707317074
3300,64800,53.333333333333336
3320,64800,53.403614457831324
3340,64800,53.56287425149701
3360,64800,53.69047619047619
3380,64800,53.84615384615385
