count,total,acc
20,64800,0.0
40,64800,2.5
60,64800,1.6666666666666667
80,64800,2.5
100,64800,2.0
120,64800,1.6666666666666667
140,64800,1.4285714285714286
160,64800,1.25
180,64800,1.1111111111111112
200,64800,2.0
220,64800,2.727272727272727
240,64800,2.9166666666666665
260,64800,2.6923076923076925
280,64800,2.857142857142857
300,64800,3.3333333333333335
320,64800,3.75
340,64800,4.117647058823529
360,64800,5.0
380,64800,5.2631578947368425
400,64800,5.0
420,64800,5.476190476190476
440,64800,5.909090909090909
460,64800,6.304347826086956
480,64800,6.25
500,64800,6.2
520,64800,6.730769230769231
540,64800,6.851851851851852
560,64800,6.964285714285714
580,64800,7.068965517241379
600,64800,7.833333333333333
620,64800,8.387096774193548
640,64800,9.0625
660,64800,9.545454545454545
680,64800,9.705882352941176
700,64800,9.714285714285714
720,64800,10.555555555555555
740,64800,10.81081081081081
760,64800,11.447368421052632
780,64800,11.666666666666666
800,64800,12.25
820,64800,12.317073170731707
840,64800,12.738095238095237
860,64800,13.372093023255815
880,64800,13.636363636363637
900,64800,14.555555555555555
920,64800,14.891304347826088
940,64800,15.0
960,64800,15.416666666666666
980,64800,15.816326530612244
1000,64800,16.2
1020,64800,16.470588235294116
1040,64800,17.307692307692307
1060,64800,17.452830188679247
1080,64800,18.055555555555557
1100,64800,18.545454545454547
1120,64800,19.107142857142858
1140,64800,19.649122807017545
1160,64800,20.0
1180,64800,20.338983050847457
1200,64800,20.75
1220,64800,21.147540983606557
1240,64800,21.451612903225808
1260,64800,21.825396825396826
1280,64800,22.1875
1300,64800,22.692307692307693
1320,64800,22.954545454545453
1340,64800,23.582089552238806
1360,64800,23.970588235294116
1380,64800,24.492753623188406
1400,64800,24.928571428571427
1420,64800,25.492957746478872
1440,64800,25.90277777777778
1460,64800,26.301369863013697
1480,64800,26.756756756756758
1500,64800,27.266666666666666
1520,64800,27.82894736842105
1540,64800,28.181818181818183
1560,64800,28.525641025641026
1580,64800,28.860759493670887
1600,64800,29.375
1620,64800,29.691358024691358
1640,64800,30.182926829268293
1660,64800,30.542168674698797
1680,64800,31.071428571428573
1700,64800,31.294117647058822
1720,64800,31.511627906976745
1740,64800,31.724137931034484
1760,64800,32.15909090909091
1780,64800,32.359550561797754
1800,64800,32.77777777777778
1820,64800,33.07692307692308
1840,64800,33.47826086956522
1860,64800,33.763440860215056
1880,64800,33.93617021276596
1900,64800,34.36842105263158
1920,64800,34.635416666666664
1940,64800,34.845360824742265
1960,64800,34.89795918367347
1980,64800,35.35353535353536
2000,64800,35.55
2020,64800,36.039603960396036
2040,64800,36.22549019607843
2060,64800,36.55339805825243
2080,64800,36.82692307692308
2100,64800,37.04761904761905
2120,64800,37.45283018867924
2140,64800,37.757009345794394
2160,64800,38.148148148148145
2180,64800,38.53211009174312
2200,64800,38.86363636363637
2220,64800,39.32432432432432
2240,64800,39.598214285714285
2260,64800,39.95575221238938
2280,64800,40.26315789473684
2300,64800,40.69565217391305
2320,64800,40.9051724137931
2340,64800,41.23931623931624
2360,64800,41.440677966101696
2380,64800,41.84873949579832
2400,64800,42.0
2420,64800,42.231404958677686
2440,64800,42.377049180327866
2460,64800,42.5609756097561
2480,64800,42.86290322580645
2500,64800,43.24
2520,64800,43.53174603174603
2540,64800,43.77952755905512
2560,64800,43.9453125
2580,64800,44.18604651162791
2600,64800,44.46153846153846
2620,64800,44.732824427480914
2640,64800,45.0
2660,64800,45.30075187969925
2680,64800,45.559701492537314
2700,64800,45.888888888888886
2720,64800,46.213235294117645
2740,64800,46.386861313868614
2760,64800,46.52173913043478
2780,64800,46.726618705035975
2800,64800,46.892857142857146
2820,64800,46.98581560283688
2840,64800,47.25352112676056
2860,64800,47.48251748251748
2880,64800,47.74305555555556
2900,64800,47.93103448275862
2920,64800,48.013698630136986
2940,64800,48.265306122448976
2960,64800,48.445945945945944
2980,64800,48.48993288590604
3000,64800,48.733333333333334
3020,64800,48.973509933774835
3040,64800,49.276315789473685
3060,64800,49.411764705882355
3080,64800,49.51298701298701
3100,64800,49.74193548387097
3120,64800,49.90384615384615
3140,64800,50.031847133757964
3160,64800,50.28481012658228
3180,64800,50.44025157232704
3200,64800,50.5625
3220,64800,50.745341614906835
3240,64800,50.925925925925924
3260,64800,51.13496932515337
3280,64800,51.28048780487805
3300,64800,51.45454545454545
3320,64800,51.626506024096386
3340,64800,51.82634730538922
3360,64800,52.05357142857143
3380,64800,52.218934911242606
3400,64800,52.35294117647059
3420,64800,52.54385964912281
3440,64800,52.73255813953488
3460,64800,52.91907514450867
3480,64800,53.04597701149425
3500,64800,53.31428571428572
3520,64800,53.4375
3540,64800,53.53107344632768
3560,64800,53.62359550561798
3580,64800,53.85474860335196
3600,64800,53.97222222222222
3620,64800,54.14364640883978
3640,64800,54.175824175824175
3660,64800,54.34426229508197
3680,64800,54.483695652173914
3700,64800,54.648648648648646
3720,64800,54.75806451612903
3740,64800,54.919786096256686
3760,64800,55.079787234042556
3780,64800,55.23809523809524
3800,64800,55.421052631578945
3820,64800,55.575916230366495
3840,64800,55.703125
3860,64800,55.854922279792746
3880,64800,56.03092783505155
3900,64800,56.17948717948718
3920,64800,56.326530612244895
3940,64800,56.44670050761421
3960,64800,56.666666666666664
3980,64800,56.80904522613066
4000,64800,56.85
4020,64800,57.039800995024876
4040,64800,57.17821782178218
4060,64800,57.26600985221675
4080,64800,57.35294117647059
4100,64800,57.48780487804878
4120,64800,57.64563106796116
4140,64800,57.77777777777778
4160,64800,57.83653846153846
4180,64800,58.014354066985646
4200,64800,58.07142857142857
4220,64800,58.15165876777251
4240,64800,58.301886792452834
4260,64800,58.42723004694836
4280,64800,58.52803738317757
4300,64800,58.674418604651166
4320,64800,58.7962962962963
4340,64800,58.894009216589865
4360,64800,59.03669724770642
4380,64800,59.15525114155251
4400,64800,59.25
4420,64800,59.29864253393665
4440,64800,59.391891891891895
4460,64800,59.506726457399104
4480,64800,59.66517857142857
4500,64800,59.77777777777778
4520,64800,59.91150442477876
4540,64800,60.02202643171806
4560,64800,60.13157894736842
4580,64800,60.19650655021834
4600,64800,60.32608695652174
4620,64800,60.41125541125541
4640,64800,60.51724137931034
4660,64800,60.66523605150215
4680,64800,60.79059829059829
4700,64800,60.87234042553192
4720,64800,60.932203389830505
4740,64800,60.949367088607595
4760,64800,61.00840336134454
4780,64800,61.12970711297071
4800,64800,61.1875
4820,64800,61.2655601659751
4840,64800,61.34297520661157
4860,64800,61.46090534979424
4880,64800,61.59836065573771
4900,64800,61.714285714285715
4920,64800,61.78861788617886
4940,64800,61.902834008097166
4960,64800,62.03629032258065
4980,64800,62.10843373493976
5000,64800,62.2
5020,64800,62.27091633466136
5040,64800,62.32142857142857
5060,64800,62.391304347826086
5080,64800,62.48031496062992
5100,64800,62.568627450980394
5120,64800,62.65625
5140,64800,62.80155642023346
5160,64800,62.906976744186046
5180,64800,62.972972972972975
5200,64800,63.07692307692308
5220,64800,63.18007662835249
5240,64800,63.26335877862596
5260,64800,63.32699619771863
5280,64800,63.390151515151516
5300,64800,63.45283018867924
5320,64800,63.55263157894737
5340,64800,63.651685393258425
5360,64800,63.73134328358209
5380,64800,63.79182156133829
5400,64800,63.870370370370374
5420,64800,63.92988929889299
5440,64800,64.00735294117646
5460,64800,64.08424908424908
5480,64800,64.17883211678833
5500,64800,64.2909090909091
5520,64800,64.3659420289855
5540,64800,64.38628158844766
5560,64800,64.51438848920863
5580,64800,64.58781362007169
5600,64800,64.64285714285714
5620,64800,64.73309608540926
5640,64800,64.822695035461
5660,64800,64.89399293286219
5680,64800,64.94718309859155
5700,64800,65.05263157894737
5720,64800,65.13986013986013
5740,64800,65.26132404181185
5760,64800,65.3125
5780,64800,65.38062283737024
5800,64800,65.43103448275862
5820,64800,65.51546391752578
5840,64800,65.54794520547945
5860,64800,65.64846416382252
5880,64800,65.74829931972789
5900,64800,65.83050847457628
5920,64800,65.89527027027027
5940,64800,65.993265993266
5960,64800,66.09060402684564
5980,64800,66.18729096989966
6000,64800,66.26666666666667
6020,64800,66.34551495016612
6040,64800,66.40728476821192
6060,64800,66.48514851485149
6080,64800,66.57894736842105
6100,64800,66.62295081967213
6120,64800,66.66666666666667
6140,64800,66.72638436482085
6160,64800,66.83441558441558
6180,64800,66.89320388349515
6200,64800,66.93548387096774
6220,64800,66.96141479099678
6240,64800,67.05128205128206
6260,64800,67.15654952076677
6280,64800,67.21337579617834
6300,64800,67.3015873015873
6320,64800,67.34177215189874
6340,64800,67.36593059936908
6360,64800,67.45283018867924
6380,64800,67.5078369905956
6400,64800,67.5625
6420,64800,67.61682242990655
6440,64800,67.6863354037267
6460,64800,67.78637770897832
6480,64800,67.85493827160494
6500,64800,67.92307692307692
6520,64800,68.00613496932516
6540,64800,68.10397553516819
6560,64800,68.125
6580,64800,68.20668693009118
6600,64800,68.25757575757575
6620,64800,68.30815709969788
6640,64800,68.37349397590361
6660,64800,68.45345345345345
6680,64800,68.50299401197604
6700,64800,68.50746268656717
6720,64800,68.58630952380952
6740,64800,68.66468842729971
6760,64800,68.75739644970415
6780,64800,68.80530973451327
6800,64800,68.8970588235294
6820,64800,68.9882697947214
6840,64800,69.06432748538012
6860,64800,69.1399416909621
6880,64800,69.21511627906976
6900,64800,69.26086956521739
6920,64800,69.34971098265896
6940,64800,69.4092219020173
6960,64800,69.45402298850574
6980,64800,69.51289398280802
7000,64800,69.6
7020,64800,69.65811965811966
7040,64800,69.73011363636364
7060,64800,69.74504249291785
7080,64800,69.81638418079096
7100,64800,69.88732394366197
7120,64800,69.92977528089888
7140,64800,70.0
7160,64800,70.0
7180,64800,70.01392757660167
7200,64800,70.05555555555556
7220,64800,70.09695290858726
7240,64800,70.13812154696133
7260,64800,70.19283746556474
7280,64800,70.26098901098901
7300,64800,70.31506849315069
7320,64800,70.35519125683061
7340,64800,70.40871934604904
7360,64800,70.47554347826087
7380,64800,70.5420054200542
7400,64800,70.58108108108108
7420,64800,70.64690026954177
7440,64800,70.71236559139786
7460,64800,70.7372654155496
7480,64800,70.78877005347593
7500,64800,70.86666666666666
7520,64800,70.94414893617021
7540,64800,70.9814323607427
7560,64800,71.005291005291
7580,64800,71.08179419525067
7600,64800,71.10526315789474
7620,64800,71.16797900262468
7640,64800,71.20418848167539
7660,64800,71.2532637075718
7680,64800,71.27604166666667
7700,64800,71.32467532467533
7720,64800,71.37305699481865
7740,64800,71.40826873385014
7760,64800,71.45618556701031
7780,64800,71.52956298200515
7800,64800,71.53846153846153
7820,64800,71.59846547314578
7840,64800,71.65816326530613
7860,64800,71.66666666666667
7880,64800,71.73857868020305
7900,64800,71.79746835443038
7920,64800,71.86868686868686
7940,64800,71.91435768261965
7960,64800,71.95979899497488
7980,64800,72.01754385964912
8000,64800,72.05
8020,64800,72.11970074812967
8040,64800,72.16417910447761
8060,64800,72.23325062034739
8080,64800,72.22772277227723
8100,64800,72.27160493827161
8120,64800,72.32758620689656
8140,64800,72.37100737100737
8160,64800,72.41421568627452
8180,64800,72.43276283618582
8200,64800,72.48780487804878
8220,64800,72.51824817518248
8240,64800,72.58495145631068
8260,64800,72.62711864406779
8280,64800,72.68115942028986
8300,64800,72.72289156626506
8320,64800,72.7764423076923
8340,64800,72.82973621103118
8360,64800,72.85885167464114
8380,64800,72.91169451073986
8400,64800,72.97619047619048
8420,64800,73.02850356294537
8440,64800,73.05687203791469
8460,64800,73.096926713948
8480,64800,73.16037735849056
8500,64800,73.18823529411765
8520,64800,73.22769953051643
8540,64800,73.27868852459017
8560,64800,73.32943925233644
8580,64800,73.37995337995338
8600,64800,73.43023255813954
8620,64800,73.49187935034803
8640,64800,73.5300925925926
8660,64800,73.56812933025404
8680,64800,73.59447004608295
8700,64800,73.63218390804597
8720,64800,73.64678899082568
8740,64800,73.6842105263158
8760,64800,73.6986301369863
8780,64800,73.74715261958998
8800,64800,73.7840909090909
8820,64800,73.82086167800453
8840,64800,73.85746606334841
8860,64800,73.89390519187359
8880,64800,73.95270270270271
8900,64800,73.98876404494382
8920,64800,74.04708520179372
8940,64800,74.08277404921701
8960,64800,74.11830357142857
8980,64800,74.15367483296214
9000,64800,74.18888888888888
9020,64800,74.20177383592018
9040,64800,74.24778761061947
9060,64800,74.30463576158941
9080,64800,74.36123348017621
9100,64800,74.38461538461539
9120,64800,74.41885964912281
9140,64800,74.46389496717724
9160,64800,74.50873362445415
9180,64800,74.54248366013071
9200,64800,74.58695652173913
9220,64800,74.63123644251627
9240,64800,74.65367965367966
9260,64800,74.68682505399568
9280,64800,74.71982758620689
9300,64800,74.76344086021506
9320,64800,74.8068669527897
9340,64800,74.85010706638116
9360,64800,74.88247863247864
9380,64800,74.91471215351812
9400,64800,74.96808510638297
9420,64800,74.95753715498938
9440,64800,74.97881355932203
9460,64800,75.01057082452431
9480,64800,75.03164556962025
9500,64800,75.03157894736842
9520,64800,75.06302521008404
9540,64800,75.104821802935
9560,64800,75.13598326359832
9580,64800,75.17745302713988
9600,64800,75.21875
9620,64800,75.25987525987526
9640,64800,75.28008298755186
9660,64800,75.30020703933748
9680,64800,75.3099173553719
9700,64800,75.36082474226804
9720,64800,75.41152263374485
9740,64800,75.41067761806981
9760,64800,75.4610655737705
9780,64800,75.51124744376278
9800,64800,75.55102040816327
9820,64800,75.59063136456211
9840,64800,75.630081300813
9860,64800,75.65922920892496
9880,64800,75.69838056680162
