count,total,acc
20,64800,95.0
40,64800,97.5
60,64800,96.66666666666667
80,64800,93.75
100,64800,94.0
120,64800,94.16666666666667
140,64800,95.0
160,64800,95.0
180,64800,94.44444444444444
200,64800,95.0
220,64800,95.0
240,64800,95.0
260,64800,95.38461538461539
280,64800,95.35714285714286
300,64800,95.33333333333333
320,64800,95.625
340,64800,95.58823529411765
360,64800,95.83333333333333
380,64800,95.52631578947368
400,64800,95.75
420,64800,95.71428571428571
440,64800,95.9090909090909
460,64800,96.08695652173913
480,64800,96.04166666666667
500,64800,96.0
520,64800,96.15384615384616
540,64800,96.29629629629629
560,64800,96.25
580,64800,96.37931034482759
600,64800,96.33333333333333
620,64800,96.45161290322581
640,64800,96.5625
660,64800,96.36363636363636
680,64800,96.32352941176471
700,64800,96.28571428571429
720,64800,96.25
740,64800,96.35135135135135
760,64800,96.44736842105263
780,64800,96.53846153846153
800,64800,96.625
820,64800,96.70731707317073
840,64800,96.66666666666667
860,64800,96.74418604651163
880,64800,96.70454545454545
900,64800,96.77777777777777
920,64800,96.73913043478261
940,64800,96.80851063829788
960,64800,96.875
980,64800,96.83673469387755
1000,64800,96.7
1020,64800,96.56862745098039
1040,64800,96.63461538461539
1060,64800,96.60377358490567
1080,64800,96.66666666666667
1100,64800,96.72727272727273
1120,64800,96.69642857142857
1140,64800,96.75438596491227
1160,64800,96.8103448275862
1180,64800,96.77966101694915
1200,64800,96.83333333333333
1220,64800,96.88524590163935
1240,64800,96.85483870967742
1260,64800,96.9047619047619
1280,64800,96.875
1300,64800,96.92307692307692
1320,64800,96.96969696969697
1340,64800,96.94029850746269
1360,64800,96.91176470588235
1380,64800,96.95652173913044
1400,64800,97.0
1420,64800,97.04225352112677
1440,64800,96.94444444444444
1460,64800,96.98630136986301
1480,64800,96.95945945945945
1500,64800,97.0
1520,64800,96.97368421052632
1540,64800,96.94805194805195
1560,64800,96.92307692307692
1580,64800,96.9620253164557
1600,64800,97.0
1620,64800,96.9753086419753
1640,64800,97.01219512195122
1660,64800,97.04819277108433
1680,64800,97.02380952380952
1700,64800,97.05882352941177
1720,64800,97.03488372093024
1740,64800,97.06896551724138
1760,64800,97.04545454545455
1780,64800,97.07865168539325
1800,64800,97.11111111111111
1820,64800,97.14285714285714
1840,64800,97.17391304347827
1860,64800,97.20430107526882
1880,64800,97.18085106382979
1900,64800,97.21052631578948
1920,64800,97.23958333333333
1940,64800,97.26804123711341
1960,64800,97.1938775510204
1980,64800,97.12121212121212
2000,64800,97.1
2020,64800,97.12871287128714
2040,64800,97.1078431372549
2060,64800,97.0873786407767
2080,64800,97.11538461538461
2100,64800,97.14285714285714
2120,64800,97.16981132075472
2140,64800,97.14953271028037
2160,64800,97.17592592592592
