tot_loss,sin2_loss
69.56482,68.8663
69.57477,68.856995
69.39505,68.84766
69.394875,68.838234
69.31104,68.82873
69.2988,68.81909
69.25799,68.809364
69.18979,68.79951
69.22408,68.78951
69.17073,68.779396
69.23745,68.76914
69.20154,68.75874
69.06427,68.74823
69.12223,68.73755
69.03749,68.72673
69.071976,68.715775
69.00711,68.70467
69.00138,68.69342
68.88548,68.68203
69.028465,68.67046
69.03014,68.65876
68.887856,68.64688
69.0239,68.63485
68.95797,68.622665
68.94026,68.61034
68.91586,68.59781
68.95622,68.58515
68.78456,68.5723
68.88538,68.55929
68.855064,68.5461
68.85866,68.53275
68.687294,68.51922
68.77957,68.50552
68.732735,68.49165
68.7045,68.4776
68.78102,68.46337
68.6093,68.44896
68.601234,68.434364
68.66477,68.419586
68.61585,68.40463
68.58893,68.389496
68.62779,68.37416
68.646454,68.35866
68.52874,68.34294
68.57621,68.32706
68.50151,68.310974
68.46185,68.29471
68.52598,68.27823
68.520386,68.26156
68.5081,68.2447
