tot_loss,sin2_loss
276.0513,275.3616
275.71167,275.20667
275.60315,275.04303
275.37482,274.87018
275.15613,274.68777
274.87033,274.49518
274.646,274.29208
274.48843,274.07797
274.18555,273.85257
273.99384,273.61545
273.92496,273.36615
273.49637,273.10455
273.17322,272.83026
272.95746,272.54303
272.6045,272.24268
272.38406,271.929
271.85562,271.60184
271.6219,271.2611
271.1899,270.9069
270.83853,270.53906
270.51736,270.15768
270.11893,269.76285
269.6655,269.35483
269.21814,268.93375
268.78525,268.4999
268.25735,268.0537
267.91495,267.59546
267.40527,267.1255
266.94617,266.64438
266.3407,266.15262
265.83243,265.6507
265.4507,265.13943
264.88016,264.6192
264.33978,264.09067
263.73917,263.55463
263.26962,263.01166
262.74738,262.4626
262.14307,261.90808
261.50848,261.34888
261.01752,260.78577
260.42972,260.21942
259.83743,259.6507
259.23975,259.08017
258.74173,258.5087
258.17923,257.9369
257.57547,257.36545
257.0426,256.7952
256.4085,256.22656
256.01254,255.66023
255.2444,255.09691
